superpathway,RPKM
Carbohydrate metabolism,84.59835367
Energy metabolism,38.89779973
Carbohydrate metabolism,38.89779973
Global and overview maps,38.89779973
Energy metabolism,97.24449932
Biosynthesis of other secondary metabolites,97.24449932
Global and overview maps,97.24449932
Amino acid metabolism,97.24449932
Metabolism of other amino acids,29.15831973
Nucleotide metabolism,14.55666116
Global and overview maps,14.55666116
Nucleotide metabolism,60.32112827
Global and overview maps,60.32112827
Nucleotide metabolism,21.63467072
Global and overview maps,21.63467072
Energy metabolism,172.4839576
Carbohydrate metabolism,172.4839576
Global and overview maps,172.4839576
Energy metabolism,317.3624221
Carbohydrate metabolism,317.3624221
Global and overview maps,317.3624221
Energy metabolism,415.6790293
Global and overview maps,415.6790293
Amino acid metabolism,54.68241411
Carbohydrate metabolism,52.11445543
Global and overview maps,52.11445543
Amino acid metabolism,52.11445543
Metabolism of other amino acids,419.2318415
Nucleotide metabolism,58.95447771
Global and overview maps,58.95447771
Energy metabolism,55.81489014
Carbohydrate metabolism,55.81489014
Global and overview maps,55.81489014
Global and overview maps,55.98051296
Metabolism of cofactors and vitamins,55.98051296
Amino acid metabolism,55.98051296
Nucleotide metabolism,41.19090146
Global and overview maps,41.19090146
Carbohydrate metabolism,40.13921887
Global and overview maps,40.13921887
Carbohydrate metabolism,44.38925381
Global and overview maps,44.38925381
Energy metabolism,131.0099505
Carbohydrate metabolism,131.0099505
Global and overview maps,131.0099505
Energy metabolism,60.27294846
Carbohydrate metabolism,60.27294846
Global and overview maps,60.27294846
Metabolism of terpenoids and polyketides,60.27294846
Energy metabolism,44.70481722
Carbohydrate metabolism,44.70481722
Global and overview maps,44.70481722
Energy metabolism,262.9328623
Carbohydrate metabolism,262.9328623
Global and overview maps,262.9328623
Metabolism of cofactors and vitamins,190.0799281
Global and overview maps,190.0799281
Energy metabolism,29.02374287
Carbohydrate metabolism,29.02374287
Global and overview maps,29.02374287
Energy metabolism,21.58516346
Carbohydrate metabolism,21.58516346
Global and overview maps,21.58516346
Carbohydrate metabolism,59.89026307
Global and overview maps,59.89026307
Amino acid metabolism,59.89026307
Energy metabolism,55.98051296
Carbohydrate metabolism,55.98051296
Global and overview maps,55.98051296
Metabolism of other amino acids,55.98051296
Carbohydrate metabolism,86.93747865
Global and overview maps,86.93747865
Carbohydrate metabolism,37.80647869
Global and overview maps,37.80647869
Energy metabolism,48.62224966
Biosynthesis of other secondary metabolites,48.62224966
Global and overview maps,48.62224966
Amino acid metabolism,48.62224966
Nucleotide metabolism,59.13928799
Global and overview maps,59.13928799
Nucleotide metabolism,88.15622835
Metabolism of cofactors and vitamins,88.15622835
Global and overview maps,88.15622835
Amino acid metabolism,164.5241238
Carbohydrate metabolism,40.22480356
Global and overview maps,40.22480356
Energy metabolism,65.27831442
Metabolism of cofactors and vitamins,65.27831442
Global and overview maps,65.27831442
Metabolism of cofactors and vitamins,49.00112433
Global and overview maps,49.00112433
Global and overview maps,46.92893748
Biosynthesis of other secondary metabolites,46.92893748
Amino acid metabolism,46.92893748
Energy metabolism,30.13647423
Glycan biosynthesis and metabolism,43.82214371
Glycan biosynthesis and metabolism,43.82214371
Energy metabolism,47.63998199
Carbohydrate metabolism,47.63998199
Global and overview maps,47.63998199
Metabolism of other amino acids,47.63998199
Nucleotide metabolism,38.5008834
Energy metabolism,38.97816708
Carbohydrate metabolism,38.97816708
Global and overview maps,38.97816708
Energy metabolism,60.27294846
Carbohydrate metabolism,60.27294846
Global and overview maps,60.27294846
Metabolism of terpenoids and polyketides,60.27294846
Amino acid metabolism,109.6827492
